id,data_criacao,titulo,cidade,estado,tipo_problema,resolvido:bool,conteudo,tipo_postagem,ordem_da_interacao,tipo_interacao,id_pai,nome_completo_empresa,nome_curto_empresa,site_empresa,categoria_empresa
9FiLYday0BcRG_oK,2022-04-01,Existe uma dívida em meu nome a qual eu desconheço ,Rio de Janeiro,RJ,SPC-Serasa,False,"Me chamo Wellington, hoje eu fiz uma consulta no Serasa e consta em meu nome uma divida da empresa FIDC NPL2 
CNPJ 29292312
Contrato 21170200257904

Eu não tenho conhecimento dessa divida! Por isso solicito esclarecimento urgente afim de evitar maiores transtorno pois eu já sei que se trata de uma ilegalidade pois não há nenhuma documentação em meu nome aonde foi aceito essa cessão do meu crédito. 

",complaint,0,COMPLAINT,9FiLYday0BcRG_oK,Serasa,serasa,http://www.serasaconsumidor.com.br,"['Sites e portais', 'Financeiras', 'Contact Center']"
63pvXpzAdTtbtW8G,2022-04-02,Existe uma dívida em meu nome a qual eu desconheço ,Rio de Janeiro,RJ,SPC-Serasa,False,"Olá, Wellington !


Respondemos o seu questionamento através do e-mail que você cadastrou no Reclame Aqui. Caso não tenha mais acesso, recomendamos que atualize os dados no site para visualizar o nosso retorno.



Se preferir, estamos disponíveis também nos canais:



Facebook - www.facebook.com/serasa.com.br/

Central de ajuda - https://ajuda.serasa.com.br

Central de atendimento ao consumidor - 3003-6300 (Segunda à sexta-feira - 08h00 às 20h00).



Qualquer dúvida, conte com a gente!

Equipe Serasa.",interaction,1,ANSWER,9FiLYday0BcRG_oK,Serasa,serasa,http://www.serasaconsumidor.com.br,"['Sites e portais', 'Financeiras', 'Contact Center']"
LC3EjZc_FQURgqru,2022-01-10,Mais uma vez complicações para agendamento ,Salvador,BA,,True,"Liguei para fazer agendamento para minha lua de mel e fui surpreendida com a informação que não posso pq do período pq so pode de domingo a domingo e quando dei a possibilidade para ir 2 dias depois do meu casamento que já é um constrangimento ela informou que n tem como pq tem um feriado no meio da semana e meu contrato não permite agendamento para feriado, e me deu o valor de 4.708,20 e quando olhei no site estava de 6.388,47 diferença pouquíssima fora que nós pagamos 885,72 mensal e vejo que fui [Editado pelo Reclame Aqui] e benefícios 0 visualizando sempre um desgaste para agendamento e valores altos mesmo tendo esse gasto mensal. E indisponibilidade de datas sendo que é um momento único que seria passar minha lua de mel na costa do Sauipe.",complaint,0,COMPLAINT,LC3EjZc_FQURgqru,Aviva Vacation Club,aviva-vacation-club,http://aviva.com.br,[]
T-kE96CKLXAOZnjw,2022-01-20,Mais uma vez complicações para agendamento ,Salvador,BA,,True,"Olá Michaela,

Agradecemos por expressar sua insatisfação, pois sua opinião é muito importante para nós e nos dá a oportunidade de melhorar.

Entramos em contato via telefônico onde foi esclarecido o ocorrido e oferecido uma solução.
Pedimos desculpas novamente pelo transtorno gerado.
Somos feitos para compartilhar alegrias e levar ainda mais felicidades às famílias 

Dúvidas estaremos à disposição.

Grande abraço,
Equipe Aviva",interaction,1,ANSWER,LC3EjZc_FQURgqru,Aviva Vacation Club,aviva-vacation-club,http://aviva.com.br,[]
d30lMN5ApWSkExby,2022-05-04,Mais uma vez complicações para agendamento ,Salvador,BA,,True,Muito bom,interaction,2,FINAL_ANSWER,LC3EjZc_FQURgqru,Aviva Vacation Club,aviva-vacation-club,http://aviva.com.br,[]
Kc0rcfe3gfaQcjex,2022-05-04,REEMBOLSO DE PEDIDOS,Osasco,SP,Estorno do valor pago,True,"Bom Dia !
No dia 28/04/2022 fiz uma solicitação de reembolso de dois pedidos ( pedidos 147124455 e 147133290 ), mas até agora esse reembolso não foi realizado.
Ontem consegui contato com o PDR e fui informada que os pedidos foram devolvidos, pois não consegui retirá-los por não estar mais morando no estado de SP.
Em anexo está o email do dia 28/04 em que a atendente Jenifer da Facily solicitou meus dados para o reembolso através do protocolo #53580822.
Solicito novamente o reembolso desses pedidos em minha C/C (já informada a Facily) o quanto antes.
Grata
",complaint,0,COMPLAINT,Kc0rcfe3gfaQcjex,Facily,faci-ly,http://faci.ly,"['Problemas com o Atendimento', 'Problemas com o Site', 'Aplicativos']"
AeTMVOYoZ3oazLT6,2022-05-05,REEMBOLSO DE PEDIDOS,Osasco,SP,Estorno do valor pago,True,"Olá, como você está? Esperamos que esteja bem!

Entramos em contato para esclarecer todo o ocorrido, para solucionar o quanto antes o seu problema e enviamos em seu e-mail informações detalhadas sobre a tratativa realizada.

Pedimos sinceras desculpas pela experiência que teve com nossos serviços. Valorizamos muito a sua opinião e nos comprometemos a dar a melhor solução.


Continuamos sempre à disposição, conte conosco sempre que precisar.

Atenciosamente, 
Equipe Reclame Aqui Facily",interaction,1,ANSWER,Kc0rcfe3gfaQcjex,Facily,faci-ly,http://faci.ly,"['Problemas com o Atendimento', 'Problemas com o Site', 'Aplicativos']"
m8zY7sM63h8K1PPt,2022-05-05,REEMBOLSO DE PEDIDOS,Osasco,SP,Estorno do valor pago,True,Atendimento rápido,interaction,2,FINAL_ANSWER,Kc0rcfe3gfaQcjex,Facily,faci-ly,http://faci.ly,"['Problemas com o Atendimento', 'Problemas com o Site', 'Aplicativos']"
SpRY_57uP3d4UIBy,2022-03-30,Descumprimento de acordo ,Salvador,BA,Estorno do valor pago,False,"Fiz uma solicitação por telefone, ao banco bmg. Pois sofri uma lesão. 
A atendente se comprometeu a efetuar um crédito em confiança e seguir com o procedimento de estorno de compra. 
Não tendo efetuado o crédito, fiz novo contato e também não se resolveu.
Efetuei uma sinalização do problema, junto o Reclameaqui. 
Disseram estar incompleta a minha solicitação por e-mail. 
Solicitado a feitura da solicitação por intermédio deste. 
Pediram assim; carta de próprio punho.
Com finalização aprazada para a data de ontem; 29.03.
Lamento, mas foi descumprido o prazo e quse as 22hs, apenas; recebi o e-mail, dizendo ainda em análise. Sem descrição de novo prazo.
Fui obrigada a assumir o prejuízo. Pois o banco, que deveria proteger minhas vida financeira; não tomou as providências, as quais se comprometeu. 
Desta maneira, cancelei o mesmo.
Acabei o prejuízo. Porém, a empresa não agiu corretamente.
Peço providências, contra o mesmo. 
Agradecida,

Maria 
",complaint,0,COMPLAINT,SpRY_57uP3d4UIBy,Banco BMG,banco-bmg,http://www.bancobmg.com.br,"['Bancos', 'Cartões de Crédito', 'Financeiras', 'Internet Banking']"
vAGWHb7ZpIr87kNQ,2022-03-30,Descumprimento de acordo ,Salvador,BA,Estorno do valor pago,False,"Olá, Maria. Tudo bem?

 Identificamos que você já nos acionou anteriormente no dia 24/03/2022 pelo atendimento 140622517. A sua solicitação está sendo analisada por nós e continuaremos com o atendimento através deste primeiro protocolo, tudo bem?

Nós entendemos a sua necessidade e por isso, estamos trabalhando para solucionar seu problema da melhor forma possível. Pode ficar tranquilo que iremos dar seguimento ao seu atendimento por lá.

Conte com a gente!

WhatsApp: 11 4002 7007; SAC 0800 979 9099; 
Central de Relacionamento Bmg Card: 
Ligações originadas de telefone celular 4002 7007; 
Ligações originadas de telefone fixo 0800 770 1790; 
Central de Relacionamento Outros Produtos 0800 031 8866.

Abraços, Time Bmg",interaction,1,ANSWER,SpRY_57uP3d4UIBy,Banco BMG,banco-bmg,http://www.bancobmg.com.br,"['Bancos', 'Cartões de Crédito', 'Financeiras', 'Internet Banking']"
djBkkcEzas4o-NHy,2022-03-30,Descumprimento de acordo ,Salvador,BA,Estorno do valor pago,False,"Boa noite. O senhor é feliz se conseguiu tratar com o estabelecimento. Narrei todo o ocorrido. E se entregassem meu produto, não era necessário contestar. A compra só pode ser feita com senha. Nunca neguei a compra. Disse que paguei e não levei. Não tenho culpa de mudança de data. Foi dado um prazo e não foi cumprido. Não quero mais conta com esse banco. Não entendi o motivo da telefonema.",interaction,2,REPLY,SpRY_57uP3d4UIBy,Banco BMG,banco-bmg,http://www.bancobmg.com.br,"['Bancos', 'Cartões de Crédito', 'Financeiras', 'Internet Banking']"
4Sqvm7HGgH0mC4j2,2022-04-01,Descumprimento de acordo ,Salvador,BA,Estorno do valor pago,False,"Olá, Maria! Como vai?

Informamos que sua solicitação foi solucionada da seguinte forma: Referente a despesa contestada, foi efetuado crédito em confiança, seguiremos com analise junto a bandeira Mastercard.
Caso ocorra a comprovação do cumprimento do acordado por parte do estabelecimento, a despesa será lançada novamente em fatura.

O crédito ficará visível em até 2 faturas.

Se você tiver alguma dúvida, por favor, retorne o contato por aqui ou entre em um dos nossos canais oficiais de Atendimento Bmg:

- WhatsApp: (11) 4002 7007; 
- SAC 0800 979 9099; 
- Central de Relacionamento Bmg Card: 
. ligações originadas de telefone celular (11) 4002 7007; 
. ligações originadas de telefone fixo 0800 770 1790; 
- Central de Relacionamento Outros Produtos: 0800 031 8866. 

Estamos sempre aqui por você! 

Time Bmg",interaction,3,COMPANY_REPLY,SpRY_57uP3d4UIBy,Banco BMG,banco-bmg,http://www.bancobmg.com.br,"['Bancos', 'Cartões de Crédito', 'Financeiras', 'Internet Banking']"
yrqAQTqg9Uy5oXtw,2022-04-07,Créditos ,Rio de Janeiro,RJ,Propaganda enganosa,False,"Recebi 20 reais em créditos novamente em lojas selecionadas e não consigo usar!
Fiz uma reclamação tem dois dias e a resposta eu não consegui entender.",complaint,0,COMPLAINT,yrqAQTqg9Uy5oXtw,Rappi,rappi,http://rappi.com.br,['Aplicativos']
0nDUA1ekzzZOE2Sk,2022-04-08,Créditos ,Rio de Janeiro,RJ,Propaganda enganosa,False,"Oi, Brenda.

Bem-vinda ao atendimento do Reclame Aqui da Rappi. Espero que esteja tudo bem por aí.

A sua manifestação foi atendida.

Por identificarmos que já houve um reembolso na ordem reportada na manifestação, a sua conta está bloqueada para qualquer ajuste de valor no pedido em questão.

Para mais detalhes, enviamos uma mensagem para o seu e-mail cadastrado aqui no Reclame Aqui. Por gentileza, verifique sua caixa de entrada / Spam, tá?

Agradecemos o seu contato e continuamos à disposição caso necessite de algo mais.

Atenciosamente,

Deillyanne - Consultor Reclame Aqui – Equipe Rappi Brasil.
Segunda à sábado das 9:00h às 15:20h.",interaction,1,ANSWER,yrqAQTqg9Uy5oXtw,Rappi,rappi,http://rappi.com.br,['Aplicativos']
HXhioEWelkY4p0gR,2022-03-19,Devolução sacolinha 59037272,Valinhos,SP,Devolução de produto,False,"Compra sacolinha 59037272 
Vestido bege TUART
Recebido pela portaria do meu condomínio em 09/03/2022
Retirado na portaria do meu condomínio em 18/03/2022 pela minha funcionária conforme anexo foto do app do meu condomínio da parte de entrega de encomendas. Eu estava viajando e cheguei na sexta feira 18/03/22 de viagem, podem conferir (além da foto da data de retirada da encomenda) fotos que postei da viagem também no Instagram aberto @gabibrenelli . O site ENJOEI dá 7 dias corridos para devolução da mercadoria após recebimento da mesma. E a portaria do meu prédio recebeu a mercadoria em 09/03/22 e a minha funcionária Maria Inês só retirou a mercadoria na data que eu cheguei de viagem 18/03/22 . Eu quero devolver a mercadoria pois não serviu o vestido. Sexta feira 25/03/22 eu viajo novamente. 
** Vestido está com etiqueta e com embalagem original ",complaint,0,COMPLAINT,HXhioEWelkY4p0gR,Enjoei,enjoei,http://www.enjoei.com.br,"['Anúncios e Classificados', 'Sites e portais']"
npJpM7eEIS0lkBTz,2022-03-22,Devolução sacolinha 59037272,Valinhos,SP,Devolução de produto,False,"Gabriela,
Bom dia!

Aqui no Enjoei como medida de segurança, o comprador tem o direito de devolver um produto comprado pela internet dentro do prazo de 7 dias corridos a contar do dia seguinte ao recebimento do mesmo, apontado no rastreio.

Esse prazo é estabelecido pelo CDC, o código de defesa do consumidor

Quando a devolução é solicitada dentro do prazo de 7 dias corridos, acrescentamos mais 3 dias úteis para o comprador fazer a devolução do item.

Caso o item não seja postado dentro do prazo mencionado acima e não sermos informados, não conseguimos seguir com a sua devolução pelo prazo ter vencido.


A sua compra: vestido bege tuart, foi realizada no dia 28/02/2022 e chegou no dia 09/03/2022 pelo Correios, no rastreio OT374983106BR.

Levando em conta essas informações, vimos que o prazo para devolução do seu produto está esgotado. Ele foi entregue para você no dia 09/03/2022 e o prazo limite para devolução era até o dia 16/03/2022.

A sua manifestação no Reclame Aqui foi criada no dia 19/03/2022 e como não recebemos a sua reclamação dentro do período de 07 dias corridos do CDC não conseguimos seguir com o processo de devolução pois está fora do prazo previsto por lei.



Qualquer dúvida estamos à disposição.

Abraços,
Equipe Enjoei.",interaction,1,ANSWER,HXhioEWelkY4p0gR,Enjoei,enjoei,http://www.enjoei.com.br,"['Anúncios e Classificados', 'Sites e portais']"
hRaADsUD2_zpLnJ_,2022-03-22,Devolução sacolinha 59037272,Valinhos,SP,Devolução de produto,False,"Mas eu voltei de viagem e peguei o produto na portaria do prédio na sexta feira 18/03. Enviei foto com a data de retirada do pedido na portaria do meu prédio. Eu estava no Nordeste. Que absurdo uma Empresa renomada como o Enjoei fazer a tratativa de clientes dessa forma. Aliás, depois dessa, uma  EX CLIENTE. Empresa que eu confiava e não confio mais. Lembre-se que quem faz a empresa é o cliente.",interaction,2,REPLY,HXhioEWelkY4p0gR,Enjoei,enjoei,http://www.enjoei.com.br,"['Anúncios e Classificados', 'Sites e portais']"
uGOeTxHR6ZnWYZaO,2022-03-29,Atraso na entrega 2,Bauru,SP,Atraso na entrega,False,"Segue novamente a minha reclamação,já que a primeira não surtiu efeito e não foi solucionada, entrei em contato com a loja novamente, sendo esse contato diário e a mesma informa que a transportadora não responde, onde está o problema, o descaso: Estou com um produto com atraso de entrega, o mesmo está com a transportadora desde 13-03-2022 e até o momento não foi entregue, já entrei em contato com a loja a qual informa ter contatado a empresa, mas ainda continuo sem o produto, tentei contato com a empresa, mas como é assistente virtual, a mesma não ajudou em nada, pois o meu pedido não consta nem com cadastro. Aguardo retorno com urgência.

AWB - TXAZ447186164tx",complaint,0,COMPLAINT,uGOeTxHR6ZnWYZaO,Total Express,total-express-tex-courier,http://www.totalexpress.com.br,['Logística e Entrega Rápida']
BREqn5jBQoaMZAqp,2022-04-08,Atraso na entrega 2,Bauru,SP,Atraso na entrega,False,"Olá Nahh Araujo,

Boa tarde!

Informo que seu pedido , infelizmente motivos alheios a nossa vontade, foi extraviado. Pedimos que efetue contato com a loja virtual  para identificar como você será atendido, a loja já está ciente do ocorrido e deverá atendê-la da melhor maneira possível.

Pedimos desculpas pelo transtorno causado. Estamos à disposição, caso haja dúvidas.

Atenciosamente,
Joice Andrade
Equipe de Mídias Sociais- Total Express",interaction,1,ANSWER,uGOeTxHR6ZnWYZaO,Total Express,total-express-tex-courier,http://www.totalexpress.com.br,['Logística e Entrega Rápida']
15612906,2015-11-29,Não entregaram a mercadoria,Santo André,SP,Atraso na entrega,False,"No dia 06/11, efetuei uma compra no crédito à vista e foi dado um prazo de entrega até dia 11/11/2015.



Hoje fazem 23 dias que efetuei a compra e 18 dias depois do prazo que foi dado e até hoje, não recebi a mercadoria. 



Estou a uma semana, tentando entrar em contato pelos dois telefones do site, ambos estão desligados a qualquer hora do dia, mando e-mail para eles e não retornam e quando entro em contato pelo Facebook, respondem tarde da noite às 23h 43 minutos de uma quinta-feira, perguntam qual o número do pedido e você responde prontamente quando acorda às 8h, assim que você acorda e eles até hoje não respondem ou se quer visualizam.



Você acredita que uma empresa tem um mínimo de respeito ao seu cliente, que pagou o valor do produto e não tem em mãos o que pagou. É um imenso descaso com um cliente que pagou, acreditou na empresa e não foi atendida devidamente, conforme o código do consumidor.



Espero receber um retorno por aqui dessa empresa mal educada e irresponsável, que não tem comprometimento com um cliente. Vocês perderam um cliente e não indico nunca mais nada nada com vocês.

Péssimos.



Se não tiverem um retorno e a entrega do meu produto na terça, acionarei os meus advogados e serão noticiados através da justiça.



Aguardo retorno e entrega do meu produto.",complaint,0,COMPLAINT,15612906,Loja Mundo Geek,loja-mundo-geek,http://www.lojamundogeek.com.br,"['Relógios', 'Acessórios de Vestuário', 'Utilidades domésticas', 'Brinquedos e jogos', 'Material Escolar e Escritórios', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Maquiagem']"
15612906-ANSWER,2015-11-29,Não entregaram a mercadoria,Santo André,SP,Atraso na entrega,False,"Olá Raissa,



Fizemos o envio, e o produto estará na sua residência na terça feira.

Desculpe o transtorno.



Agradecemos as criticas, para nossa evolução.



Obrigado.",interaction,1,ANSWER,15612906,Loja Mundo Geek,loja-mundo-geek,http://www.lojamundogeek.com.br,"['Relógios', 'Acessórios de Vestuário', 'Utilidades domésticas', 'Brinquedos e jogos', 'Material Escolar e Escritórios', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Maquiagem']"
CdY9l_rSHDwtYaom,2022-03-07,Cancelamento de empréstimo ,Belford Roxo,RJ,Cancelamento,False,"Data 07/03/22 
Me chamo Elza Pereira 
Fui fazer uma simulação de empréstimo e sem perceber acabei contratando o serviço. Só vi qndo chegou msg dizendo q o dinheiro está na conta.
 Estou tentando cancelar o serviço.
mas n estou conseguindo entra na apcao ajuda p fazer o cancelamento. 
Estou tentando entrar no app logo qndo vi a msg.",complaint,0,COMPLAINT,CdY9l_rSHDwtYaom,Neon Pagamentos,banco-neon,http://www.neonpagamentos.com.br,"['Cartões de Crédito', 'Bancos', 'Internet Banking', 'Financeiras', 'Factorings', 'Serviços de câmbio e transferência de dinheiro']"
f9502ywNzDmmB-5s,2022-03-16,Cancelamento de empréstimo ,Belford Roxo,RJ,Cancelamento,False,"Olá, Elza.

Te enviamos alguns detalhes sobre a resolução do seu caso nas mensagens privadas, tudo bem? Você pode visualizar tanto no e-mail cadastrado quanto aqui no site do Reclame Aqui.

Qualquer coisa pode nos contatar nos seguintes canais oficiais:
- Estamos 24h por dia disponíveis no chat, que você pode acessar pelo próprio aplicativo
- E-mail (oi@neon.com.br/oipejota@neon.com.br)
- E nossas redes sociais

Tenha uma ótima semana :)

Abraços,

Time Neon.",interaction,1,ANSWER,CdY9l_rSHDwtYaom,Neon Pagamentos,banco-neon,http://www.neonpagamentos.com.br,"['Cartões de Crédito', 'Bancos', 'Internet Banking', 'Financeiras', 'Factorings', 'Serviços de câmbio e transferência de dinheiro']"
Qy2EOrNrAQykVS6K,2022-05-06,Compra na loja Americana ,Ipatinga,MG,,False,Comprei 2 tapetes de Yoga e recebi só 1,complaint,0,COMPLAINT,Qy2EOrNrAQykVS6K,Americanas Marketplace,americanas-marketplace,http://www.americanas.com.br,"['Marketplace', 'Higiene e Limpeza Pessoal', 'Higiene e limpeza doméstica', 'Higiene Bucal', 'Utilidades domésticas', 'Acessórios para Carros', 'Acessórios para Celulares, Tablets e Computadores', 'Óculos, Lentes e Acessórios', 'Relógios', 'Jóias e Relojoarias', 'Acessórios de Vestuário', 'Informática', 'Eletroeletrônicos', 'Eletrodomésticos', 'Cama, Mesa e Banho', 'Livros', 'Corpo e Banho', 'Corpo e Banho Infantil', 'Moda Feminina', 'Moda Masculina', 'Moda Infantil', 'Calçados Masculinos', 'Calçados Femininos', 'Calçados Infantis', 'Calçados Esportivos']"
